# Copies and Copyright-Notice
#
#      RegulonDB is free for academic/noncommercial use 
#
#      User is not entitled to change or erase data sets of the RegulonDB
#      database or to eliminate copyright notices from RegulonDB. Furthermore,
#      User is not entitled to expand RegulonDB or to integrate RegulonDB partly
#      or as a whole into other databank systems, without prior written consent
#      from CCG-UNAM.
#
#      Please check the license at http://regulondb.ccg.unam.mx/menu/download/full_version/terms_and_conditions.jsp
#
# Citation
#
#      Tierrafría, V. H. et al. (2022). RegulonDB 11.0: Comprehensive high-throughput datasets on transcriptional regulation in Escherichia coli K-12,
#      Microb Genom. 2022 May;8(5). doi: 10.1099/mgen.0.000833. PMID: 35584008. https://doi.org/10.1099/mgen.0.000833
#
#
# Contact
#
#      Person: RegulonDB Team
#      Web Page: http://regulondb.ccg.unam.mx/menu/about_regulondb/contact_us/index.jsp
#          (regulondb@ccg.unam.mx)
#
#
# Release: 11.1 Date: 12/12/2022
# ___________________________________________________________________________
# Created: 12/13/2022  10:04:40
#
# Columns:
#  (1) Transcription Factor (TF) Name
#  (2) Operon  regulated by TF [operon genes]
#  (3) Regulatory Function of the TF on the regulated gene (+ activator, - repressor, +- dual, ? unknown)
#  (4) Evidence that supports the existence of the TFBS
#  (5) Evidence of the function of the Regulatory interaction (RI)
#  (6) RI confidence level based on  its evidence (Values: Confirmed, Strong, Weak)
#
AaeR	aaeXAB[aaeA, aaeB, aaeX]	+	[EXP-GSELEX|W|genomic SELEX]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PdhR	tomB-hha[hha, tomB]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[]	Weak	
PepA	carAB[carA, carB]	-	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IMP|W|Inferred from mutant phenotype]	Strong	
PepA	pepA[pepA]	-	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
PgrR	ycjG[ycjG]	-	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IGI|W|Inferred from genetic interaction]	Strong	
PgrR	ycjXF-tyrR[tyrR, ycjF, ycjX]	-	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IGI|W|Inferred from genetic interaction]	Strong	
PgrR	ycjY-ymjDC-mpaA[mpaA, ycjY, ymjC, ymjD]	-	[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IGI|W|Inferred from genetic interaction]	Strong	
PhoB	adiC[adiC]	+	[]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoB	amn[amn]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoB	argP[argP]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoB	asr[asr]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	cra[cra]	-	[]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoB	cusCFBA[cusA, cusB, cusC, cusF]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	cusRS[cusR, cusS]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	edd-eda[eda]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	feaR[feaR]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	gadAXW[gadW, gadX]	+	[]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoB	hiuH[hiuH]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	mipA[mipA]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	ompF[ompF]	+	[]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoB	phnCDEFGHIJKLMNOP[phnC, phnD, phnE, phnF, phnG, phnH, phnI, phnJ, phnK, phnL, phnM, phnN, phnO, phnP]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	phoA-psiF[phoA, psiF]	+	[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	phoBR[phoB, phoR]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	phoE[phoE]	+	[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	phoH[phoH]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	phoPQ[phoQ]	+	[]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoB	pitB[pitB]	-	[]	[EXP-IMP|W|Inferred from mutant phenotype]	Weak	
PhoB	prpR[prpR]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	psiE[psiE]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	pstSCAB-phoU[phoU, pstA, pstB, pstC, pstS]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IMP-SITE-MUTATION|S|Site mutation],]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
PhoB	rcdB[rcdB]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	rspR[rspR]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	sbcDC[sbcC, sbcD]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	talA-tktB[tktB]	+	[]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoB	ugpBAECQ[ugpA, ugpB, ugpC, ugpE, ugpQ]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	Strong	
PhoB	ugpBAECQ[ugpA, ugpB, ugpC, ugpE, ugpQ]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],]	Strong	
PhoB	waaH[waaH]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoB	yegH[yegH]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoB	ytfK[ytfK]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	acrAB[acrA, acrB]	-	[]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	argD[argD]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	borD[borD]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[]	Strong	
PhoP	clpS[clpS]	-	[COMP-HINF|W|Inferred by a human based on computational evidence],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	cysB[cysB]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[]	Weak	
PhoP	dcuD[dcuD]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	envY-ompT[ompT]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	fadL[fadL]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	gadAXW[gadW]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	gadEF-mdtEF[gadE, gadF]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	glgBXCAP[glgA, glgB, glgC, glgP, glgX]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	hdeAB-yhiD[hdeA, hdeB, yhiD]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	hdeD[hdeD]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	hemL[hemL]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	iraM[iraM]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	Strong	
PhoP	malS[malS]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	metBL[metB, metL]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	mgrB[mgrB]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	mgrR[mgrR]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	mgtLA[mgtA, mgtL]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
PhoP	mgtS[mgtS]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	nagBAC-umpH[nagA]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	pagP[pagP]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	phoPQ[phoP, phoQ]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	phoPQ[phoP, phoQ]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	purHD[purD, purH]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	rstAB[rstA, rstB]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	rutABCDEFG[rutA, rutB, rutC, rutD, rutE, rutF, rutG]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	safA-ydeO[safA, ydeO]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	slyB[slyB]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	slyB[slyB]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PhoP	tolC-ygiBC[tolC, ygiB, ygiC]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	treR[treR]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
PhoP	ybjG[ybjG]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	ydeP[ydeP]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PhoP	yrbL[yrbL]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PlaR	plaR[plaR]	-	[COMP-AINF|W|Inferred computationally without human oversight],[EXP-GSELEX|W|genomic SELEX],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
PlaR	yiaKLMNO-lyxK-sgbHUE[lyxK, sgbE, sgbH, sgbU, yiaK, yiaL, yiaM, yiaN, yiaO]	-	[COMP-AINF|W|Inferred computationally without human oversight],[EXP-GSELEX|W|genomic SELEX],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],[EXP-IEP-MICROARRAY|W|Expression microarray evidence]	Confirmed	
PrpR	prpBCDE[prpB, prpC, prpD, prpE]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],]	Weak	
PrpR	prpR[prpR]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis],]	Weak	
PspF	pspABCDE[pspA, pspB, pspC, pspD, pspE]	+	[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PspF	pspF[pspF]	-	[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PspF	pspGH[pspG, pspH]	+	[COMP|W|Inferred by computational analysis],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PurR	carAB[carA, carB]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Strong	
PurR	codBA[codA, codB]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
PurR	cvpA-purF-ubiX[cvpA, purF, ubiX]	-	[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.],[EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS|W|Binding of cellular extracts],[EXP-IDA-BINDING-OF-PURIFIED-PROTEINS|S|Binding of purified proteins],[EXP-IMP-SITE-MUTATION|S|Site mutation]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Confirmed	
PurR	gcvTHP[gcvH, gcvP, gcvT]	-	[COMP-AINF-SIMILAR-TO-CONSENSUS|W|Automated inference based on similarity to consensus sequences],[COMP-HINF-SIMILAR-TO-CONSENSUS|W|A person inferred or reviewed a computer inference of sequence function based on similarity to a consensus sequence.]	[EXP-IEP-GENE-EXPRESSION-ANALYSIS|W|Gene expression analysis]	Weak	
